# US Census Bureau, National County and Equivalent Entities file, 2020 vintage:
# https://www2.census.gov/geo/docs/reference/codes2020/national_county2020.txt (fetched 2026-09-08).
# Filtered to the three in-scope states. Columns as published; county_geoid = STATEFP || COUNTYFP.
state,state_fips,county_fips,county_geoid,county_name,class_fp
FL,12,001,12001,"Alachua County",H1
FL,12,003,12003,"Baker County",H1
FL,12,005,12005,"Bay County",H1
FL,12,007,12007,"Bradford County",H1
FL,12,009,12009,"Brevard County",H1
FL,12,011,12011,"Broward County",H1
FL,12,013,12013,"Calhoun County",H1
FL,12,015,12015,"Charlotte County",H1
FL,12,017,12017,"Citrus County",H1
FL,12,019,12019,"Clay County",H1
FL,12,021,12021,"Collier County",H1
FL,12,023,12023,"Columbia County",H1
FL,12,027,12027,"DeSoto County",H1
FL,12,029,12029,"Dixie County",H1
FL,12,031,12031,"Duval County",H6
FL,12,033,12033,"Escambia County",H1
FL,12,035,12035,"Flagler County",H1
FL,12,037,12037,"Franklin County",H1
FL,12,039,12039,"Gadsden County",H1
FL,12,041,12041,"Gilchrist County",H1
FL,12,043,12043,"Glades County",H1
FL,12,045,12045,"Gulf County",H1
FL,12,047,12047,"Hamilton County",H1
FL,12,049,12049,"Hardee County",H1
FL,12,051,12051,"Hendry County",H1
FL,12,053,12053,"Hernando County",H1
FL,12,055,12055,"Highlands County",H1
FL,12,057,12057,"Hillsborough County",H1
FL,12,059,12059,"Holmes County",H1
FL,12,061,12061,"Indian River County",H1
FL,12,063,12063,"Jackson County",H1
FL,12,065,12065,"Jefferson County",H1
FL,12,067,12067,"Lafayette County",H1
FL,12,069,12069,"Lake County",H1
FL,12,071,12071,"Lee County",H1
FL,12,073,12073,"Leon County",H1
FL,12,075,12075,"Levy County",H1
FL,12,077,12077,"Liberty County",H1
FL,12,079,12079,"Madison County",H1
FL,12,081,12081,"Manatee County",H1
FL,12,083,12083,"Marion County",H1
FL,12,085,12085,"Martin County",H1
FL,12,086,12086,"Miami-Dade County",H1
FL,12,087,12087,"Monroe County",H1
FL,12,089,12089,"Nassau County",H1
FL,12,091,12091,"Okaloosa County",H1
FL,12,093,12093,"Okeechobee County",H1
FL,12,095,12095,"Orange County",H1
FL,12,097,12097,"Osceola County",H1
FL,12,099,12099,"Palm Beach County",H1
FL,12,101,12101,"Pasco County",H1
FL,12,103,12103,"Pinellas County",H1
FL,12,105,12105,"Polk County",H1
FL,12,107,12107,"Putnam County",H1
FL,12,109,12109,"St. Johns County",H1
FL,12,111,12111,"St. Lucie County",H1
FL,12,113,12113,"Santa Rosa County",H1
FL,12,115,12115,"Sarasota County",H1
FL,12,117,12117,"Seminole County",H1
FL,12,119,12119,"Sumter County",H1
FL,12,121,12121,"Suwannee County",H1
FL,12,123,12123,"Taylor County",H1
FL,12,125,12125,"Union County",H1
FL,12,127,12127,"Volusia County",H1
FL,12,129,12129,"Wakulla County",H1
FL,12,131,12131,"Walton County",H1
FL,12,133,12133,"Washington County",H1
MD,24,001,24001,"Allegany County",H1
MD,24,003,24003,"Anne Arundel County",H1
MD,24,005,24005,"Baltimore County",H1
MD,24,009,24009,"Calvert County",H1
